	ENPH	ENPH	ENPH	ENPH	ENPH	SPCE	SPCE	SPCE	SPCE	SPCE	SQ	SQ	SQ	SQ	SQ	UBER	UBER	UBER	UBER	UBER
	open	high	low	close	volume	open	high	low	close	volume	open	high	low	close	volume	open	high	low	close	volume
time																				
2019-01-02 00:00:00-05:00	4.63	4.93	4.61	4.905	629853.0						54.1	57.83	53.56	57.13	12680319					
2019-01-03 00:00:00-05:00	4.86	4.98	4.74	4.775	1223121.0						55.58	56.73	52.26	52.4711	18397355					
2019-01-04 00:00:00-05:00	4.86	5.11	4.8307	5.085	1617535.0						54.4	59.66	53.8611	58.0215	29065071					
2019-01-07 00:00:00-05:00	5.12	5.39	4.9	5.27	1383242.0						59.0	61.29	58.0501	60.62	16722213					
2019-01-08 00:00:00-05:00	5.33	5.48	5.205	5.35	1129931.0						62.6	63.8002	61.15	63.05	20136281					
2019-01-09 00:00:00-05:00	5.41	5.77	5.41	5.62	1180286.0						63.3	66.9	62.56	65.99	20142741					
2019-01-10 00:00:00-05:00	5.54	5.77	5.44	5.62	990237.0						64.75	66.2	63.72	66.04	12710550					
2019-01-11 00:00:00-05:00	5.6	5.7	5.57	5.69	751183.0						65.69	67.64	65.2201	66.17	14023190					
2019-01-14 00:00:00-05:00	5.64	5.84	5.48	5.83	1349926.0						64.72	65.72	63.74	65.18	11402402					
2019-01-15 00:00:00-05:00	5.9	6.18	5.82	6.1385	2270179.0						65.14	66.77	64.8601	65.7384	11198518					
2019-01-16 00:00:00-05:00	6.13	6.74	6.1	6.69	3637672.0						66.34	67.63	65.23	65.78	12506363					
2019-01-17 00:00:00-05:00	6.78	7.2	6.75	6.8101	3221768.0						66.1	69.7	65.95	68.8075	20145418					
2019-01-18 00:00:00-05:00	6.85	6.98	6.425	6.5099	1992224.0						69.7	72.2	69.24	72.18	21230976					
2019-01-22 00:00:00-05:00	6.48	6.77	6.41	6.59	1507358.0						71.61	71.75	67.27	67.57	18038368					
2019-01-23 00:00:00-05:00	6.61	6.66	6.39	6.4999	931645.0						69.58	70.59	68.02	69.0	16962651					
2019-01-24 00:00:00-05:00	6.5	6.68	6.44	6.66	1457772.0						69.37	74.03	69.3001	73.8399	23611530					
2019-01-25 00:00:00-05:00	6.72	6.83	6.515	6.705	1427667.0						74.9	78.15	74.5	77.985	24054782					
2019-01-28 00:00:00-05:00	6.64	7.09	6.64	6.905	1391743.0						75.39	77.01	74.12	76.35	14917258					
2019-01-29 00:00:00-05:00	6.99	7.19	6.94	7.09	1584546.0						72.26	72.43	68.05	68.5326	31132841					
2019-01-30 00:00:00-05:00	7.14	7.29	7.04	7.14	1431750.0						71.01	71.57	68.72	71.45	17302085					
2019-01-31 00:00:00-05:00	7.16	7.58	7.1	7.23	2376425.0						70.03	73.8599	69.98	71.47	14304836					
2019-02-01 00:00:00-05:00	7.26	7.35	6.6	6.99	4243816.0						71.05	71.2798	69.72	70.935	11878579					
2019-02-04 00:00:00-05:00	7.02	7.06	6.8	7.0	1147013.0						71.0	72.62	70.4	71.8299	10008850					
2019-02-05 00:00:00-05:00	6.87	7.33	6.865	7.3215	1778151.0						73.0	75.17	72.31	72.4872	18178605					
2019-02-06 00:00:00-05:00	7.3	7.53	7.26	7.325	1356909.0						72.31	73.28	70.82	72.69	9522044					
2019-02-07 00:00:00-05:00	7.32	7.6	7.27	7.485	1718888.0						71.77	72.98	70.52	71.995	8909092					
2019-02-08 00:00:00-05:00	7.4	7.55	7.27	7.435	1020666.0						70.62	73.41	70.23	73.4	9129451					
2019-02-11 00:00:00-05:00	7.55	7.78	7.45	7.76	2295765.0						74.56	75.88	73.56	74.35	12212644					
2019-02-12 00:00:00-05:00	7.9	7.94	7.46	7.61	1777856.0						75.55	75.89	74.8429	75.56	8250192					
2019-02-13 00:00:00-05:00	7.65	7.84	7.5109	7.67	1142036.0						76.0	77.2473	75.4	75.595	9734532					
2019-02-14 00:00:00-05:00	7.63	7.83	7.61	7.66	993613.0						74.89	76.0599	73.8	75.72	7041348					
2019-02-15 00:00:00-05:00	7.72	7.78	7.56	7.61	1147650.0						76.22	76.8547	75.1	75.62	6743864					
2019-02-19 00:00:00-05:00	7.57	7.65	7.41	7.56	1560094.0						75.96	77.1	75.793	76.6101	6711375					
2019-02-20 00:00:00-05:00	7.49	7.52	7.01	7.24	2310788.0						77.0	77.67	75.11	75.95	8271208					
2019-02-21 00:00:00-05:00	7.26	7.53	7.26	7.37	1163372.0						75.95	76.5	74.135	74.43	7411328					
2019-02-22 00:00:00-05:00	7.42	7.78	7.38	7.77	1504350.0						74.88	76.08	74.85	76.07	7179289					
2019-02-25 00:00:00-05:00	7.82	8.15	7.71	8.06	2077674.0						77.8	78.56	76.78	77.12	8325968					
2019-02-26 00:00:00-05:00	8.01	8.18	7.85	8.1	2205613.0						77.3	78.19	76.8664	77.94	8160316					
2019-02-27 00:00:00-05:00	8.4	9.1192	8.2	8.86	5807605.0						78.0	79.56	77.39	79.346	15271539					
2019-02-28 00:00:00-05:00	9.0	9.4	8.7731	9.07	3415906.0						75.92	82.78	74.57	81.24	39761840					
2019-03-01 00:00:00-05:00	9.11	9.3	9.025	9.1	3035032.0						80.97	81.03	76.69	77.4762	21447712					
2019-03-04 00:00:00-05:00	9.19	9.24	8.65	8.78	3180957.0						77.99	78.49	73.05	74.68	16203449					
2019-03-05 00:00:00-05:00	8.76	8.86	8.31	8.71	1845792.0						74.89	76.51	73.76	76.03	9205588					
2019-03-06 00:00:00-05:00	8.85	9.075	8.2	8.38	2303848.0						75.55	75.95	74.29	75.1	6960580					
2019-03-07 00:00:00-05:00	8.34	8.63	8.24	8.3	1698399.0						74.79	75.2863	73.18	74.09	8646931					
2019-03-08 00:00:00-05:00	8.19	8.4792	8.03	8.46	1749057.0						71.95	74.4	71.1	74.4	8277788					
2019-03-11 00:00:00-04:00	8.44	8.9	8.43	8.84	2237383.0						74.99	75.95	74.62	75.525	7495677					
2019-03-12 00:00:00-04:00	8.84	9.04	8.78	8.99	1316228.0						76.0	78.0	75.8	76.8	8654400					
2019-03-13 00:00:00-04:00	9.05	9.38	9.05	9.35	1659824.0						77.39	78.85	76.95	77.84	8011693					
2019-03-14 00:00:00-04:00	9.35	9.53	9.23	9.38	1768952.0						78.0	78.72	77.1	77.39	6172851					
2019-03-15 00:00:00-04:00	9.4	9.44	9.03	9.06	1921494.0						77.825	77.97	76.25	76.6299	5876207					
2019-03-18 00:00:00-04:00	9.18	9.7	9.18	9.66	1418119.0						76.61	76.83	73.51	75.23	12574234					
2019-03-19 00:00:00-04:00	8.86	9.46	8.8	9.2	3804074.0						76.955	77.27	76.1058	76.82	5485553					
2019-03-20 00:00:00-04:00	9.14	9.4	9.0	9.18	1440920.0						76.18	76.23	73.95	75.25	9113707					
2019-03-21 00:00:00-04:00	9.22	9.565	9.15	9.38	1633195.0						74.87	78.74	74.77	78.54	10330013					
2019-03-22 00:00:00-04:00	9.35	9.48	9.04	9.2	1573893.0						78.24	79.2	74.95	75.13	9527083					
2019-03-25 00:00:00-04:00	9.19	9.2	8.61	9.03	1951353.0						74.45	75.4735	73.33	74.53	7865333					
2019-03-26 00:00:00-04:00	9.09	9.09	8.565	8.71	1929665.0						75.66	75.77	73.16	73.93	8612292					
2019-03-27 00:00:00-04:00	8.74	8.83	8.5749	8.8	970595.0						75.38	75.6	71.64	72.96	11130589					
2019-03-28 00:00:00-04:00	8.82	9.1	8.76	9.08	1279094.0						73.66	74.78	72.85	74.27	6921995					
2019-03-29 00:00:00-04:00	9.17	9.395	9.15	9.23	1604283.0						74.62	75.54	74.25	74.93	5621125					
2019-04-01 00:00:00-04:00	9.15	9.32	9.055	9.26	1065353.0						75.59	76.7	75.1	76.32	5222046					
2019-04-02 00:00:00-04:00	9.27	9.42	9.16	9.35	1119552.0						76.05	76.5699	75.13	75.6	6274418					
2019-04-03 00:00:00-04:00	9.4	9.79	9.4	9.68	2303008.0						75.99	77.84	75.99	77.07	9126140					
2019-04-04 00:00:00-04:00	9.6	9.7399	9.47	9.52	1141970.0						76.79	77.23	73.63	74.57	10317213					
2019-04-05 00:00:00-04:00	9.53	9.98	9.53	9.83	2488965.0						75.23	76.48	74.73	75.06	6876164					
2019-04-08 00:00:00-04:00	10.0	10.25	9.965	10.24	2201849.0						74.76	75.33	73.76	75.01	5474533					
2019-04-09 00:00:00-04:00	10.24	10.36	10.0	10.04	1855664.0						74.63	75.9	74.4	74.62	6404019					
2019-04-10 00:00:00-04:00	10.01	10.3	10.01	10.15	1687177.0						75.06	75.65	73.92	74.74	7496801					
2019-04-11 00:00:00-04:00	10.18	10.18	9.76	9.8	1758060.0						75.05	76.05	74.9407	75.49	6633502					
2019-04-12 00:00:00-04:00	9.93	10.088	9.8466	9.93	1101445.0						76.35	76.46	74.8177	75.29	6064917					
2019-04-15 00:00:00-04:00	9.99	10.183	9.41	9.58	2036844.0						75.23	76.33	74.095	74.385	6395735					
2019-04-16 00:00:00-04:00	9.62	9.755	9.56	9.66	1109570.0						74.9	75.1795	72.77	73.5	6111007					
2019-04-17 00:00:00-04:00	9.75	9.78	9.6114	9.73	851425.0						73.89	73.9	72.21	72.74	5444358					
2019-04-18 00:00:00-04:00	9.73	9.8354	9.39	9.45	1149086.0						72.5	72.75	69.79	70.71	10750796					
2019-04-22 00:00:00-04:00	9.43	9.4389	9.15	9.28	1376593.0						70.05	72.88	70.0	72.59	5991700					
